feature,mean_abs_shap
highway,687.9868
road_length_m,395.9735
hour_cos,382.05566
connected_road_count,318.77228
node_degree,283.06934
is_weekend,262.01947
is_peak_hour,226.32108
hour,206.8468
is_oneway,183.82484
road_length_log,98.65082
lane_count,89.714066
day_of_week,82.837845
speed_limit_kmh,81.44919
hour_sin,30.30655
lane_speed_product,19.737576
dow_cos,18.189924
month,15.731154
dow_sin,13.226552
morning_peak,4.7367024
evening_peak,2.501538
is_tunnel,1.0645783
is_bridge,0.250141
