zone_id,centroid_lat,centroid_lon,osm_node_id,matched_node_lat,matched_node_lon,nearest_road_id,distance_to_node_m,distance_to_road_m
Z0000,30.08560651055331,31.751711648994736,12083028329,30.0920885,31.7395343,1304640771,1376.0547185564956,1376.0547185564956
Z0001,30.06580451368924,31.778338551188384,9008017788,30.0658268,31.7782062,814422924,12.99559667599893,4.817933735706816
Z0002,30.08276818126735,31.74549643251229,12039973938,30.0856661,31.7352762,1304640771,1036.1002773306652,1034.7963428159796
Z0003,30.078045231375842,31.742801330693304,12083065657,30.0807119,31.7337181,1304640771,924.0561104351592,923.1852449420663
Z0004,30.062231406099226,31.749725611744527,8269544521,30.0630632,31.7499921,543024473,95.69969983147122,7.405107493995228
Z0005,30.06881706519542,31.74117757309046,5249762417,30.0608331,31.7455019,737966268,978.1395546632177,975.1227494613198
Z0006,30.060693273740753,31.784393094659883,11978392684,30.0605898,31.7852994,1343494241,88.12201820038324,88.12201820038324
Z0007,30.060701525772867,31.765414301957318,11978352907,30.0605555,31.7653387,1292100847,17.74930219279596,17.74930219279596
Z0008,30.06846906584177,31.729396248728435,12083065702,30.0666232,31.7290826,1304640771,206.79916887094492,27.962677048340087
Z0009,30.057416442298138,31.73944672212984,6323412863,30.0574012,31.7392766,1118768134,16.48818856312293,7.472251422595917
Z0010,30.05314414794648,31.769484170795,11281112944,30.0535729,31.7697197,1218185658,52.66497149528114,52.08657842215309
Z0011,30.054655565672842,31.73517602282711,5249717306,30.0542077,31.7353176,1118768134,51.47927870480959,3.8685276227699212
Z0012,30.056227014207384,31.758068739835814,11978352773,30.056472,31.7585287,1292100848,51.99679370263452,2.2576876710698808
Z0013,30.052002361122245,31.731988758525834,7883313895,30.0518791,31.7323072,1118768134,33.60463027729494,3.570529878218182
Z0014,30.05059300963771,31.761143521015015,11280879757,30.0505503,31.7611637,683344609,5.117688356545981,3.96098458865014
Z0015,30.052327738518134,31.724186053680988,12083065711,30.0509311,31.723688,1304640771,162.0665592230811,1.880922801869888
Z0016,30.052171020101824,31.75011098331997,11101778533,30.0522649,31.7499697,1292100858,17.140822217041286,15.814638284202358
Z0017,30.05029775303285,31.75540260584843,9007941785,30.0507267,31.7586999,1217493444,321.44635433475656,8.411244463528064
Z0018,30.051102377580957,31.78071018080623,12430963187,30.049986,31.7803963,1343494240,127.37306980591963,127.36853029230187
Z0019,30.048435246336073,31.728861698176132,5249760775,30.0485651,31.7290199,1118768133,20.971189943684603,3.379224672590396
Z0020,30.04820199827877,31.743152479397118,11978352951,30.0481266,31.7430627,1292100854,12.031676953384688,11.543755741101053
Z0021,30.047365891562258,31.72193306733194,12083065611,30.0473674,31.7218335,1304640766,9.601729199277235,9.10912362603254
Z0022,30.043856968807585,31.730722652987012,6360550653,30.0439904,31.7307753,543053791,15.635127862194773,10.79715939529256
Z0023,30.045495236185076,31.75772762034589,7607428627,30.0456976,31.7586637,678135359,93.00212314278106,89.88665997494057
Z0024,30.041076249071217,31.69601887475348,13290480783,30.0441067,31.6937269,1304254845,402.05611003359553,333.3752976668697
Z0025,30.04440964341178,31.72010575991191,6911977708,30.0443051,31.7199948,738184694,15.770778783124316,11.724927734503698
Z0026,30.044197803411986,31.73794988175405,11101763667,30.0441607,31.7379294,1152636090,4.5617887728328315,3.4142085954846753
Z0027,30.042232127697186,31.726030304025763,5249993703,30.0422112,31.7261127,543053792,8.276646909614474,3.0874647583527226
Z0028,30.04450610958084,31.750828454026554,7607428423,30.0442672,31.7513748,814422925,58.959678603216055,52.944920004519346
Z0029,30.041038133675254,31.71675710599856,10925097534,30.0411461,31.716985,1175748600,25.021593366791105,19.818390111253862
Z0030,30.04301324513491,31.778660890440833,8266434652,30.0419706,31.7810182,544240231,254.98537028730942,224.30395623537763
Z0031,30.042182232254614,31.762218855346923,6349514399,30.0414981,31.7609835,678135356,141.2019124859731,141.1646570071217
Z0032,30.040327454521616,31.73990922218581,11285856573,30.0403197,31.739758,1217986202,14.6070905110041,12.363938884753292
Z0033,30.041190076372217,31.74760709690016,11281112877,30.0412761,31.7476986,1115319347,12.990145985439167,12.19144031329797
Z0034,30.038413215284734,31.75464810094211,11285629238,30.0384877,31.7545328,1217959496,13.847735902426805,11.21829437821426
Z0035,30.03722730353472,31.748742096273805,11283547200,30.037112,31.7488013,1217493420,13.996190084805878,2.12285746621163
Z0036,30.040709579442275,31.767575251356604,11281112927,30.0409147,31.7674506,1217506131,25.715041645762316,25.637945914927194
Z0037,30.037317808146664,31.735146359006244,11978353031,30.0372042,31.7352641,628986097,16.954102374760367,13.335380289414829
Z0038,30.035675480359764,31.720940532488804,8411114978,30.0355262,31.7216167,675212096,67.26999860002071,42.721871706516
Z0039,30.036423433303863,31.76212421621233,7797358617,30.0361353,31.7623608,543045418,39.24536226193463,3.3491197809165367
Z0040,30.035741857040392,31.7446825566031,10246151275,30.0357774,31.7446518,1120267733,4.930878849557182,4.930878849557182
Z0041,30.038676875816424,31.77245804587222,6331018646,30.0388292,31.7724959,992719636,17.271879533831843,16.85694524548016
Z0042,30.037359368691988,31.776117715651193,10266949682,30.0360537,31.7758956,1217506125,146.2808693242226,132.3804957013795
Z0043,30.0354766897626,31.7799636642792,11282851830,30.035681,31.7791705,544240233,79.76599104522936,79.76599104522936
Z0044,30.034574344862033,31.739435097090016,10293763207,30.0346476,31.7390389,1152636097,39.05909029772275,4.545597566801196
Z0045,30.034227969842842,31.75790854854278,11285717933,30.0347247,31.7577249,814422933,57.830114180426676,3.077932848837642
Z0046,30.034466709839414,31.76905809948666,6330658744,30.0343143,31.7689631,678135365,19.21554854657442,10.602653181964586
Z0047,30.031570830557786,31.735636488261015,7750238305,30.0315559,31.7361257,1125322988,47.20606180229715,14.508279462032652
Z0048,30.032254940686734,31.765535182823097,10255047514,30.0322561,31.7654169,1217525919,11.407131442797388,10.49465961945515
Z0049,30.032469765883782,31.777590978014604,10255047456,30.0323327,31.7776678,1121155931,16.900826622007944,10.995493547069229
Z0050,30.032091591540546,31.773322942534392,10246173166,30.0323195,31.7734008,1120270020,26.350843446593647,24.273734404073917
Z0051,30.032121902724672,31.748541526744763,11281005623,30.0321867,31.748723,814422926,18.916353636194643,17.5095186831554
Z0052,30.030824134863014,31.760247207608952,11285578608,30.0305754,31.7602006,1217959546,27.930833652649795,27.930833652649795
Z0053,30.028653506150125,31.779296694253084,11282851845,30.0290491,31.7773332,544240233,194.36151873803476,193.73395192609468
Z0054,30.029293506996662,31.74078833630274,10750659915,30.0294506,31.7402794,814422902,52.076759153306064,20.178674735344163
Z0055,30.029234763719167,31.769301498832494,11281293852,30.0292726,31.7692872,543045420,4.4142171257329625,4.278403869420988
Z0056,30.02903619658836,31.774141055886737,11282938377,30.0290543,31.7741497,814422869,2.17264274455705,1.8631251621185259
Z0057,30.02938849790453,31.750539707097442,11283546918,30.029423,31.7503496,1217776889,18.727791796182377,3.9076741190907778
Z0058,30.02847588501487,31.763356411092808,10248779941,30.0284335,31.7631115,1120551554,24.081114931701187,24.077740430300462
Z0059,30.028780731657292,31.75444575226343,11285554889,30.0291815,31.7536082,814422935,92.17786965853408,55.284834302620794
Z0060,30.028932383203593,31.721201853089372,10923683159,30.0289138,31.7211864,1175356359,2.542181866704361,2.5416957170853487
Z0061,30.025907284373268,31.747372693399928,9312631347,30.0257573,31.7474586,814422878,18.572760039826026,16.57593607411957
Z0062,30.02547428211636,31.77575655687733,6330015553,30.0257021,31.775618,967817947,28.566410028812918,28.566410028812918
Z0063,30.024970661593258,31.761839968652875,7607428862,30.0250981,31.7617526,814422940,16.44613961973144,16.44613961973144
Z0064,30.024996411260663,31.74140056467202,7607428298,30.025114,31.7411914,676564070,24.015615285076674,12.89270586872728
Z0065,30.024654411041418,31.768187171508227,7797358727,30.0251183,31.7681857,676564068,51.411996380822366,4.390853821927398
Z0066,30.02636980554364,31.733845477910716,11978352979,30.0263634,31.7338327,1292100861,1.4221641063974435,0.8167324230480315
Z0067,30.024448307219867,31.755340491042183,6335621126,30.024286,31.755256,676564065,19.747729576121866,19.747729576121866
Z0068,30.023895062157465,31.725283962563587,11364094742,30.0237044,31.7253748,1225418889,22.874970243838327,4.011658489138048
Z0069,30.023463411539502,31.72081848448425,8270352509,30.0233619,31.7208203,678421827,11.251815835581388,6.822397397091797
Z0070,30.022477974200193,31.70765684182495,5249786384,30.018252,31.7072892,890776145,469.7036767076895,469.3420192923071
Z0071,30.022585301191285,31.733130859298992,11285791575,30.0226232,31.733125,1217978264,4.23812532359459,4.217568210779682
Z0072,30.0216946949037,31.728401701562113,10617240807,30.0212909,31.7283339,1139094919,45.22741497273787,44.735503801017394
Z0073,30.020782826676054,31.7503871561793,10163913348,30.0205127,31.7504696,1110884916,30.97560161730575,27.937785900733616
Z0074,30.021117578373612,31.794795620613407,7031775664,30.0211281,31.7950907,543044761,28.482317106244246,0.8408719946298067
Z0075,30.0207307207614,31.778306973774786,12430980471,30.0208073,31.7786904,1217538421,37.9406353793551,37.72555100495891
Z0076,30.020339548859653,31.801479011905684,8267086968,30.020416,31.8014117,543044761,10.673919842339192,6.615827287560566
Z0077,30.02150130530826,31.785672456500325,5249912268,30.0199108,31.7851284,543044761,183.91509950494293,156.01234611074406
Z0078,30.019462018511355,31.735069400114178,12433634941,30.0194258,31.7349597,1343789168,11.316063593150389,4.084301700181913
Z0079,30.02015442759384,31.760790579184597,10163913653,30.0196227,31.7602754,1110884916,77.08142717810631,75.90816040669658
Z0080,30.019907919959238,31.768318940302766,10957523771,30.0198603,31.7687506,1179763023,41.96470862167798,4.887991599966943
Z0081,30.02014671827912,31.74339358045343,10957524014,30.0200956,31.74324,1179763042,15.85865248149521,15.738714292015073
Z0082,30.017839742413003,31.715124539765384,8273987759,30.01847,31.7152649,814406248,71.15080214699147,24.471606928455124
Z0083,30.019961358286928,31.75529697587725,10997957529,30.0200362,31.7549425,1110884927,35.17942454560173,8.262828045134482
Z0084,30.019497854532187,31.739078374161494,10957524021,30.019571,31.7398829,1179763041,78.0159227483071,8.329285574754959
Z0085,30.019458231884162,31.77332064758434,12418065985,30.0193767,31.7732066,1343496074,14.235005108132164,9.180150467413121
Z0086,30.017609060308292,31.808712035044486,6400497072,30.0180993,31.8093517,683344629,82.2068434598713,69.44444484529991
Z0087,30.016730557938487,31.72987857273965,12069775652,30.0169041,31.7301837,1303264563,35.15693941834498,12.538186926392164
Z0088,30.0178601870926,31.74736868201944,12451251340,30.017675,31.7475284,1346175585,25.66186124419942,15.712690825976983
Z0089,30.016934485241457,31.756175210013488,10196918691,30.0169538,31.7569165,1155766924,71.52827929589313,38.26577205839461
Z0090,30.015435587503497,31.7365683693022,10703944215,30.0150251,31.7371798,1110710059,74.48142563955969,45.22981831419404
Z0091,30.015840627531865,31.788955798962828,8264323238,30.0157931,31.7886782,544242795,27.287248755053835,0.13128952897386081
Z0092,30.015598129125554,31.798248302652425,8264323247,30.0160905,31.7983442,544242795,55.34616157928139,55.282839614518714
Z0093,30.014784553693435,31.770844689160736,10244913054,30.0148786,31.7706988,1120136242,17.510880031345224,14.129961004614385
Z0094,30.015128292492474,31.74644674476904,10161612680,30.0150886,31.7464781,1110710064,5.338315792849608,5.130881428409233
Z0095,30.015239405093816,31.724128760400077,8070386239,30.0153045,31.7240398,865812189,11.21023912351732,11.21023912351732
Z0096,30.014872801995825,31.76313433698187,10255118163,30.014927,31.763173,1346138590,7.070053569891994,6.047101815136965
Z0097,30.014021147346224,31.75653771017756,10748238443,30.0135862,31.756551,1155766924,48.22138462509663,1.5431003196577786
Z0098,30.01402155067638,31.74076061144668,12452738180,30.0141814,31.7407076,543030812,18.43895173328946,17.684217799674148
Z0099,30.014627674221945,31.780205106717716,6592538573,30.0140409,31.7796727,1343496079,82.860610897842,72.30621696481278
Z0100,30.0135099907614,31.752824160059173,10186873666,30.0134059,31.7526172,1110710066,23.055423374728758,7.908550262324635
Z0101,30.01361049835973,31.827245767596562,7086148168,30.0133499,31.8287712,683344629,149.93559466582556,10.884558144440565
Z0102,30.011968698978865,31.7456090678495,5249821145,30.0121616,31.74599,543030811,42.50937943837537,21.24026886821903
Z0103,30.01148169625276,31.749727813566732,12452738116,30.0114814,31.7496257,1346337932,9.849305235289657,7.205842132550597
Z0104,30.011895556032258,31.72366433478059,12106256000,30.0118409,31.7235633,814406237,11.474431197402486,9.730719497168808
Z0105,30.01149302473767,31.759780984060335,12450877093,30.0120296,31.7598466,1346138602,59.803319866734,5.871190042427348
Z0106,30.011471537370394,31.733828899561722,12071543938,30.0118774,31.7342378,1303476624,59.82336354219875,39.37215256457004
Z0107,30.01124468927378,31.776910501483194,8264323221,30.0108613,31.7774203,1179763005,64.98671920404895,13.348087658883333
Z0108,30.01269689910245,31.815338729852975,6400497318,30.011803,31.8138689,544242796,172.95165711677842,149.7084287605382
